,query,jieba_pos,jieba_segment,jieba_keywords,tfidf_keywords,textrank_keywords,Unnamed: 0,text_rank_keywords
23,孕妇可以吃流沙包吗？,孕妇/n 吃/v 流沙包/x,孕妇 吃 流沙包,流沙包 孕妇,孕妇 流沙包,流沙包 孕妇,23,吃 流沙包 孕妇
24,孕妇可以吃客淘宝吗？,孕妇/n 吃客/v 淘宝/nz,孕妇 吃客 淘宝,吃客 淘宝 孕妇,孕妇 淘宝 吃客,淘宝 孕妇 吃客,24,吃客 淘宝 孕妇
25,孕妇可以即刻淘宝吗？,孕妇/n 即刻/d 淘宝/nz,孕妇 即刻 淘宝,淘宝 即刻 孕妇,孕妇 淘宝 即刻,淘宝 孕妇 即刻,25,即刻 淘宝 孕妇
26,宝宝牙痒痒，喜欢咬东西。,宝宝/nr 牙痒痒/l 喜欢/v 咬/v 东西/ns,宝宝 牙痒痒 喜欢 咬 东西,牙痒痒 宝宝 喜欢 东西,宝宝 东西 喜欢 牙痒痒,喜欢 牙痒痒 宝宝 东西,26,喜欢 咬 牙痒痒 东西 宝宝
27,月子餐多吃什么？,月子餐/x 吃/v,月子餐 吃,月子餐,月子餐,,27,吃 月子餐
28,宝宝长牙啦。,宝宝/nr 长牙/ns,宝宝 长牙,长牙 宝宝,宝宝 长牙,长牙 宝宝,28,长牙 宝宝
29,宝宝的臭臭有点绿有点快要成型了。,宝宝/nr 臭臭/n 绿/a 快要/d 成型/n,宝宝 臭臭 绿 快要 成型,臭臭 成型 快要 宝宝,宝宝 臭臭 成型 快要,臭臭 快要 成型 宝宝,29,绿 快要 臭臭 成型 宝宝
30,生产前喝红牛有助于顺产吗？,生产/vn 喝/vg 红牛/nz 有助于/v 顺产/n,生产 喝 红牛 有助于 顺产,顺产 红牛 有助于 生产,顺产 有助于 红牛 生产,红牛 顺产 有助于 生产,30,红牛 有助于 喝 顺产 生产
31,宝宝长牙了，牙很痒。,宝宝/nr 长牙/ns 牙/n 痒/a,宝宝 长牙 牙 痒,长牙 宝宝,宝宝 长牙,长牙 宝宝,31,牙 长牙 痒 宝宝
32,宝宝经常干呕。,宝宝/nr 干呕/v,宝宝 干呕,干呕 宝宝,宝宝 干呕,干呕 宝宝,32,干呕 宝宝
33,你妈妈可以吃杂锅菜吗？,妈妈/n 吃/v 杂锅/n 菜/n,妈妈 吃 杂锅 菜,杂锅 妈妈,妈妈 杂锅,杂锅 妈妈,33,杂锅 吃 菜 妈妈
34,宝宝总是打嗝怎么办？,宝宝/nr 打嗝/v,宝宝 打嗝,打嗝 宝宝,宝宝 打嗝,打嗝 宝宝,34,打嗝 宝宝
35,怀孕期间可以吃石子吗？,怀孕/v 期间/f 吃/v 石子/n,怀孕 期间 吃 石子,石子 怀孕 期间,怀孕 期间 石子,期间 石子 怀孕,35,吃 期间 石子 怀孕
36,嗯，怀孕期间可以吃柿子柿子吗？,怀孕/v 期间/f 吃/v 柿子/n 柿子/n,怀孕 期间 吃 柿子 柿子,柿子 怀孕 期间,怀孕 期间 柿子,柿子 期间 怀孕,36,柿子 吃 期间 怀孕
37,孕38周，B超看不清手脚是有畸形吗？,孕/n 38/m 周/nr B超/n 看不清/v 手脚/n 畸形/n,孕 38 周 B超 看不清 手脚 畸形,38 B超 看不清 畸形 手脚,看不清 38 手脚 畸形,B超 看不清 手脚 畸形,37,B超 看不清 周 手脚 38 畸形 孕
38,孕38周B超看不清手脚。,孕/n 38/m 周/nr B超/n 看不清/v 手脚/n,孕 38 周 B超 看不清 手脚,38 B超 看不清 手脚,看不清 38 手脚,B超 看不清 手脚 38,38,B超 周 看不清 38 手脚 孕
39,孕30八周，B超看不清手脚。,孕/n 30/m 八周/t B超/n 看不清/v 手脚/n,孕 30 八周 B超 看不清 手脚,30 B超 八周 看不清 手脚,看不清 手脚 30 八周,B超 看不清 八周 手脚,39,B超 八周 看不清 30 手脚 孕
40,从怀孕就在玩手机，对胎儿有影响吗？,怀孕/v 玩/v 手机/n 胎儿/n 影响/vn,怀孕 玩 手机 胎儿 影响,胎儿 怀孕 手机 影响,怀孕 胎儿 手机 影响,手机 胎儿 影响 怀孕,40,手机 胎儿 玩 影响 怀孕
41,怀孕期间可以吃石子吗？,怀孕/v 期间/f 吃/v 石子/n,怀孕 期间 吃 石子,石子 怀孕 期间,怀孕 期间 石子,期间 石子 怀孕,41,吃 期间 石子 怀孕
42,嗯，怀孕期间可以吃柿子柿子吗？,怀孕/v 期间/f 吃/v 柿子/n 柿子/n,怀孕 期间 吃 柿子 柿子,柿子 怀孕 期间,怀孕 期间 柿子,柿子 期间 怀孕,42,柿子 吃 期间 怀孕
43,孕38周，B超看不清手脚是有畸形吗？,孕/n 38/m 周/nr B超/n 看不清/v 手脚/n 畸形/n,孕 38 周 B超 看不清 手脚 畸形,38 B超 看不清 畸形 手脚,看不清 38 手脚 畸形,B超 看不清 手脚 畸形,43,B超 看不清 周 手脚 38 畸形 孕
44,孕38周看不B超，看不清手怎么回事？,孕/n 38/m 周/nr 看/v B超/n 看不清/v 手/n 怎么回事/l,孕 38 周看 B超 看不清 手 怎么回事,38 周看 B超 看不清 怎么回事,怎么回事 看不清 38 周看,看不清 B超 怎么回事,44,B超 看不清 周看 手 38 怎么回事 孕
45,孕38周B超看不清手脚。,孕/n 38/m 周/nr B超/n 看不清/v 手脚/n,孕 38 周 B超 看不清 手脚,38 B超 看不清 手脚,看不清 38 手脚,B超 看不清 手脚 38,45,B超 周 看不清 38 手脚 孕
46,孕30八周，B超看不清手脚。,孕/n 30/m 八周/t B超/n 看不清/v 手脚/n,孕 30 八周 B超 看不清 手脚,30 B超 八周 看不清 手脚,看不清 手脚 30 八周,B超 看不清 八周 手脚,46,B超 八周 看不清 30 手脚 孕
47,孕38周，B超看不清手脚怎么回事？,孕/n 38/m 周/nr B超/n 看不清/v 手脚/n 怎么回事/l,孕 38 周 B超 看不清 手脚 怎么回事,38 B超 看不清 手脚 怎么回事,怎么回事 看不清 38 手脚,B超 看不清 手脚 怎么回事,47,B超 看不清 周 手脚 38 怎么回事 孕
48,怀孕能不能做爱？,怀孕/v 做爱/v,怀孕 做爱,做爱 怀孕,怀孕 做爱,怀孕 做爱,48,做爱 怀孕
49,宝宝发烧怎么办？长湿疹。,宝宝/nr 发烧/v 长/a 湿疹/n,宝宝 发烧 长 湿疹,湿疹 发烧 宝宝,宝宝 发烧 湿疹,发烧 宝宝 湿疹,49,长 发烧 湿疹 宝宝
50,宝宝发烧怎么办？长湿疹。,宝宝/nr 发烧/v 长/a 湿疹/n,宝宝 发烧 长 湿疹,湿疹 发烧 宝宝,宝宝 发烧 湿疹,发烧 宝宝 湿疹,50,长 发烧 湿疹 宝宝
51,吃什么奶大？,吃/v 奶/n 大/a,吃 奶大,奶大,奶大,,51,奶大 吃
52,吃什么奶的？,吃/v 奶/zg,吃 奶,,,,52,奶 吃
53,孕期肚子疼是怎么回事儿？,孕期/t 肚子疼/v 回事儿/n,孕期 肚子疼 回事儿,肚子疼 回事儿 孕期,孕期 回事儿 肚子疼,肚子疼 孕期 回事儿,53,肚子疼 回事儿 孕期
54,吃什么奶多？,吃/v 奶/n 多/m,吃 奶多,奶多,奶多,,54,奶多 吃
55,吃什么奶会回？,吃/v 奶会/n 回/v,吃 奶会 回,奶会,奶会,,55,奶会 回 吃
56,吃什么会回来？,吃/v 回来/v,吃 回来,回来,回来,,56,回来 吃
57,宝贝吃鱼肝油。,宝贝/nr 吃/v 鱼肝油/n,宝贝 吃 鱼肝油,鱼肝油 宝贝,宝贝 鱼肝油,鱼肝油 宝贝,57,吃 鱼肝油 宝贝
58,宝宝吃鱼肝油。,宝宝/nr 吃/v 鱼肝油/n,宝宝 吃 鱼肝油,鱼肝油 宝宝,宝宝 鱼肝油,鱼肝油 宝宝,58,吃 鱼肝油 宝宝
59,宝宝吃益生菌。,宝宝/nr 吃/v 益生菌/nr,宝宝 吃 益生菌,益生菌 宝宝,宝宝 益生菌,益生菌 宝宝,59,吃 益生菌 宝宝
60,宝宝吃维生素ad必须每天都吃吗？,宝宝/nr 吃/v 维生素ad/x 吃/v,宝宝 吃 维生素ad 吃,维生素ad 宝宝,宝宝 维生素ad,维生素ad 宝宝,60,吃 维生素ad 宝宝
61,宝宝吃维生素ad需要吃一段时间就停吗？还是必须每天都吃？,宝宝/nr 吃/v 维生素ad/x 吃/v 一段时间/l 吃/v,宝宝 吃 维生素ad 吃 一段时间 吃,维生素ad 宝宝 一段时间,宝宝 维生素ad 一段时间,维生素ad 宝宝 一段时间,61,吃 一段时间 维生素ad 宝宝
62,宝宝为什么老是哭不停？,宝宝/nr 老/a 是/v 哭/v 不停/d,宝宝 老是 哭 不停,老是 宝宝 不停,宝宝 老是 不停,,62,哭 老是 不停 宝宝
63,发烧了怎么办？,发烧/v,发烧,发烧,发烧,,63,发烧
64,怀孕七个月有妊娠糖尿病，体重没有增长，这样是不是正常？,怀孕/v 七个月/x 妊娠/v 糖尿病/n 体重/n 增长/v,怀孕 七个月 妊娠 糖尿病 体重 增长,七个月 妊娠 糖尿病 怀孕 体重 增长,怀孕 体重 糖尿病 七个月 增长 妊娠,糖尿病 妊娠 七个月 体重,64,糖尿病 妊娠 体重 七个月 增长 怀孕
65,现在有妊娠糖尿病，然后可以体重没有增长，这样子正常吗？,妊娠/v 糖尿病/n 体重/n 增长/v 样子/n,妊娠 糖尿病 体重 增长 样子,妊娠 糖尿病 体重 样子 增长,样子 糖尿病 体重 增长 妊娠,体重 糖尿病 增长 样子,65,体重 增长 糖尿病 样子 妊娠
66,我现在有妊娠糖尿病，然后血糖有点高，但是呢体重没有增长这样子说好吗？,妊娠/v 糖尿病/n 血糖/n 高/a 体重/n 增长/v 样子/n 说好/v,妊娠 糖尿病 血糖 高 体重 增长 样子 说好,血糖 妊娠 说好 糖尿病 体重 样子 增长,样子 糖尿病 体重 妊娠 增长 血糖 说好,血糖 样子 增长 体重,66,体重 高 增长 血糖 样子 糖尿病 说好 妊娠
67,怀孕30周，体重总共长了15斤，正常吗？,怀孕/v 30/m 周/nr 体重/n 总共/b 长/a 15/m 斤/m,怀孕 30 周 体重 总共 长 15 斤,30 15 总共 怀孕 体重,怀孕 30 总共 体重 15,总共 30 体重 怀孕,67,总共 体重 长 周 15 30 斤 怀孕
68,宝宝为什么老是哭不停？,宝宝/nr 老/a 是/v 哭/v 不停/d,宝宝 老是 哭 不停,老是 宝宝 不停,宝宝 老是 不停,,68,哭 老是 不停 宝宝
69,宝宝老是哭不停。,宝宝/nr 老/a 是/v 哭/v 不停/d,宝宝 老是 哭 不停,老是 宝宝 不停,宝宝 老是 不停,,69,哭 老是 不停 宝宝
70,发烧了怎么办？,发烧/v,发烧,发烧,发烧,,70,发烧
71,宝宝咳嗽怎么办？,宝宝/nr 咳嗽/v,宝宝 咳嗽,宝宝 咳嗽,宝宝 咳嗽,宝宝 咳嗽,71,咳嗽 宝宝
72,一岁的宝宝脸部不对称怎么办？,一岁/m 宝宝/nr 脸部/n 对称/v,一岁 宝宝 脸部 对称,一岁 脸部 宝宝 对称,宝宝 一岁 脸部 对称,脸部 宝宝 对称 一岁,72,脸部 宝宝 对称 一岁
73,宝宝打嗝应该怎么做？,宝宝/nr 打嗝/v,宝宝 打嗝,打嗝 宝宝,宝宝 打嗝,打嗝 宝宝,73,打嗝 宝宝
74,胎动频繁。,胎动/n 频繁/a,胎动 频繁,胎动 频繁,胎动 频繁,频繁 胎动,74,频繁 胎动
75,哪些蔬菜可以补血？,蔬菜/n 补血/v,蔬菜 补血,补血 蔬菜,补血 蔬菜,补血 蔬菜,75,补血 蔬菜
76,胎动平台。,胎动/n 平台/n,胎动 平台,胎动 平台,胎动 平台,胎动 平台,76,平台 胎动
77,胎动频繁。,胎动/n 频繁/a,胎动 频繁,胎动 频繁,胎动 频繁,频繁 胎动,77,频繁 胎动
78,运动会肚子疼。,运动会/n 肚子疼/v,运动会 肚子疼,肚子疼 运动会,肚子疼 运动会,运动会 肚子疼,78,肚子疼 运动会
79,哪些蔬菜和东西可以补血？,蔬菜/n 东西/ns 补血/v,蔬菜 东西 补血,补血 蔬菜 东西,东西 补血 蔬菜,补血 蔬菜 东西,79,东西 补血 蔬菜
80,为什么有时候感觉胎动很频繁？,有时候/l 感觉/n 胎动/n 频繁/a,有时候 感觉 胎动 频繁,胎动 有时候 频繁 感觉,胎动 感觉 频繁 有时候,胎动 感觉 频繁 有时候,80,胎动 感觉 频繁 有时候
81,什么可以补血？,补血/v,补血,补血,补血,,81,补血
82,为什么有时候感觉太重很频繁？,有时候/l 感觉/n 太重/n 频繁/a,有时候 感觉 太重 频繁,太重 有时候 频繁 感觉,感觉 频繁 有时候 太重,感觉 太重 有时候 频繁,82,太重 感觉 频繁 有时候
83,压迫到坐骨神经痛怎么办？,压迫/v 坐骨神经/i 痛/a,压迫 坐骨神经 痛,坐骨神经 压迫,坐骨神经 压迫,坐骨神经 压迫,83,坐骨神经 痛 压迫
84,胎动怎么数？,胎动/n 数/n,胎动 数,胎动,胎动,,84,数 胎动
85,什么蔬菜是补血的？,蔬菜/n 补血/v,蔬菜 补血,补血 蔬菜,补血 蔬菜,补血 蔬菜,85,补血 蔬菜
86,什么东西是补血的？,东西/ns 补血/v,东西 补血,补血 东西,东西 补血,补血 东西,86,补血 东西
87,吃什么东西可以补血？,吃/v 东西/ns 补血/v,吃 东西 补血,补血 东西,东西 补血,补血 东西,87,东西 补血 吃
88,胎动频繁。,胎动/n 频繁/a,胎动 频繁,胎动 频繁,胎动 频繁,频繁 胎动,88,频繁 胎动
89,胎动平台。,胎动/n 平台/n,胎动 平台,胎动 平台,胎动 平台,胎动 平台,89,平台 胎动
90,怎么数胎动？,数/n 胎动/n,数 胎动,胎动,胎动,,90,胎动 数
91,宝宝不喝水。,宝宝/nr 喝水/v,宝宝 喝水,喝水 宝宝,宝宝 喝水,宝宝 喝水,91,喝水 宝宝
92,宝宝不喝水。,宝宝/nr 喝水/v,宝宝 喝水,喝水 宝宝,宝宝 喝水,宝宝 喝水,92,喝水 宝宝
93,宝宝不喝水。,宝宝/nr 喝水/v,宝宝 喝水,喝水 宝宝,宝宝 喝水,宝宝 喝水,93,喝水 宝宝
94,我家宝宝不喝水怎么办？,我家/r 宝宝/nr 喝水/v,我家 宝宝 喝水,喝水 宝宝 我家,宝宝 喝水 我家,宝宝 喝水,94,宝宝 喝水 我家
95,怀孕七周感冒能吃药吗？,怀孕/v 七周/t 感冒/v 吃药/v,怀孕 七周 感冒 吃药,七周 吃药 感冒 怀孕,怀孕 感冒 七周 吃药,感冒 七周 怀孕 吃药,95,感冒 七周 吃药 怀孕
96,宝宝腿短怎么办？,宝宝/nr 腿短/n,宝宝 腿短,腿短 宝宝,宝宝 腿短,腿短 宝宝,96,腿短 宝宝
97,怀孕七周老是打喷嚏能吃什么药？,怀孕/v 七周/t 老/a 是/v 打喷嚏/v 吃/v 药/n,怀孕 七周 老是 打喷嚏 吃 药,七周 打喷嚏 老是 怀孕,怀孕 老是 七周 打喷嚏,怀孕 七周,97,打喷嚏 老是 吃 七周 药 怀孕
98,说说26周胎儿的发育指标。,26/m 周/nr 胎儿/n 发育/vn 指标/n,26 周 胎儿 发育 指标,26 胎儿 发育 指标,发育 指标 胎儿 26,胎儿 指标 发育 26,98,胎儿 发育 周 指标 26
99,跟我说说宝宝的发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,99,发育 指标 宝宝
100,怀孕七周感冒能吃药吗？,怀孕/v 七周/t 感冒/v 吃药/v,怀孕 七周 感冒 吃药,七周 吃药 感冒 怀孕,怀孕 感冒 七周 吃药,感冒 七周 怀孕 吃药,100,感冒 七周 吃药 怀孕
101,宝宝腿短怎么办？,宝宝/nr 腿短/n,宝宝 腿短,腿短 宝宝,宝宝 腿短,腿短 宝宝,101,腿短 宝宝
102,怀孕七周老是打喷嚏能吃什么药？,怀孕/v 七周/t 老/a 是/v 打喷嚏/v 吃/v 药/n,怀孕 七周 老是 打喷嚏 吃 药,七周 打喷嚏 老是 怀孕,怀孕 老是 七周 打喷嚏,怀孕 七周,102,打喷嚏 老是 吃 七周 药 怀孕
103,孕七周有今天有点见红，怎么回事？,孕/n 七周/t 见红/x 怎么回事/l,孕 七周 见红 怎么回事,见红 七周 怎么回事,怎么回事 七周 见红,见红 怎么回事 七周,103,见红 七周 怎么回事 孕
104,怀孕初期可以喝蜂蜜吗？,怀孕/v 初期/t 喝/vg 蜂蜜/n,怀孕 初期 喝 蜂蜜,蜂蜜 怀孕 初期,怀孕 初期 蜂蜜,初期 怀孕 蜂蜜,104,喝 初期 蜂蜜 怀孕
105,折腿抽筋。,折/v 腿抽筋/v,折 腿抽筋,腿抽筋,腿抽筋,,105,腿抽筋 折
106,宝宝拉屎出现奶瓣儿了，这是怎么回事儿啊？以前都没出现过。,宝宝/nr 拉屎/v 奶瓣/x 儿/n 这/r 是/v 回事儿/n 没/v,宝宝 拉屎 奶瓣 儿 这是 回事儿 没,奶瓣 回事儿 拉屎 宝宝 这是,宝宝 回事儿 拉屎 奶瓣 这是,拉屎 宝宝 奶瓣,106,儿 这是 奶瓣 回事儿 拉屎 没 宝宝
107,宝宝拉屎有奶瓣儿，怎么回事？,宝宝/nr 拉屎/v 奶瓣/x 儿/n 怎么回事/l,宝宝 拉屎 奶瓣 儿 怎么回事,奶瓣 拉屎 宝宝 怎么回事,宝宝 怎么回事 拉屎 奶瓣,奶瓣 拉屎 宝宝 怎么回事,107,奶瓣 儿 拉屎 怎么回事 宝宝
108,小孩髋骨有十名是缺钙。,小孩/n 髋骨/n 十名/m 缺钙/n,小孩 髋骨 十名 缺钙,髋骨 缺钙 十名 小孩,小孩 缺钙 髋骨 十名,髋骨 十名 小孩 缺钙,108,十名 髋骨 缺钙 小孩
109,胯骨有声响是缺钙吗？,胯骨/n 声响/n 缺钙/n,胯骨 声响 缺钙,胯骨 缺钙 声响,缺钙 声响 胯骨,胯骨 缺钙 声响,109,声响 缺钙 胯骨
110,我想问产后血糖饭后三小时7.1高不？,想/v 问/n 产后/n 血糖/n 饭后/t 小时/n 7.1/m 高/a,想 问 产后 血糖 饭后 小时 7.1 高,7.1 饭后 产后 血糖 小时,产后 小时 血糖 饭后,饭后 血糖 小时 产后,110,饭后 血糖 小时 产后 7.1 问 高 想
111,发烧怎么办？,发烧/v,发烧,发烧,发烧,,111,发烧
112,宝宝拉屎出现奶瓣儿了，这是怎么回事儿啊？以前都没出现过。,宝宝/nr 拉屎/v 奶瓣/x 儿/n 这/r 是/v 回事儿/n 没/v,宝宝 拉屎 奶瓣 儿 这是 回事儿 没,奶瓣 回事儿 拉屎 宝宝 这是,宝宝 回事儿 拉屎 奶瓣 这是,拉屎 宝宝 奶瓣,112,儿 这是 奶瓣 回事儿 拉屎 没 宝宝
113,宝宝拉屎有奶瓣儿，怎么回事？,宝宝/nr 拉屎/v 奶瓣/x 儿/n 怎么回事/l,宝宝 拉屎 奶瓣 儿 怎么回事,奶瓣 拉屎 宝宝 怎么回事,宝宝 怎么回事 拉屎 奶瓣,奶瓣 拉屎 宝宝 怎么回事,113,奶瓣 儿 拉屎 怎么回事 宝宝
114,小孩髋骨有十名是缺钙。,小孩/n 髋骨/n 十名/m 缺钙/n,小孩 髋骨 十名 缺钙,髋骨 缺钙 十名 小孩,小孩 缺钙 髋骨 十名,髋骨 十名 小孩 缺钙,114,十名 髋骨 缺钙 小孩
115,胯骨有声响是缺钙吗？,胯骨/n 声响/n 缺钙/n,胯骨 声响 缺钙,胯骨 缺钙 声响,缺钙 声响 胯骨,胯骨 缺钙 声响,115,声响 缺钙 胯骨
116,小孩髋骨有声响是缺钙吗？,小孩/n 髋骨/n 声响/n 缺钙/n,小孩 髋骨 声响 缺钙,髋骨 缺钙 声响 小孩,小孩 缺钙 髋骨 声响,髋骨 声响 小孩 缺钙,116,声响 髋骨 缺钙 小孩
117,两个月的小孩髋骨有响声是缺钙吗？,两个月/x 小孩/n 髋骨/n 响声/n 缺钙/n,两个月 小孩 髋骨 响声 缺钙,髋骨 两个月 缺钙 响声 小孩,小孩 两个月 缺钙 髋骨 响声,髋骨 小孩 响声 缺钙,117,髋骨 响声 小孩 缺钙 两个月
118,两个月的小孩髋骨有响声是缺钙吗？,两个月/x 小孩/n 髋骨/n 响声/n 缺钙/n,两个月 小孩 髋骨 响声 缺钙,髋骨 两个月 缺钙 响声 小孩,小孩 两个月 缺钙 髋骨 响声,髋骨 小孩 响声 缺钙,118,髋骨 响声 小孩 缺钙 两个月
119,今天抽血，宝宝脚上有点肿。,抽血/v 宝宝/nr 脚/n 肿/n,抽血 宝宝 脚 肿,抽血 宝宝,宝宝 抽血,抽血 宝宝,119,脚 宝宝 肿 抽血
120,宝宝脚上有点肿。,宝宝/nr 脚/n 肿/n,宝宝 脚 肿,宝宝,宝宝,,120,脚 肿 宝宝
121,宝宝今天从脚上抽血，脚上有点肿。,宝宝/nr 从/p 脚/n 抽血/v 脚/n 肿/n,宝宝 从脚 抽血 脚 肿,从脚 抽血 宝宝,宝宝 抽血 从脚,,121,抽血 脚 从脚 肿 宝宝
122,小孩舌苔发白怎么回事？,小孩/n 舌苔/n 发白/v 怎么回事/l,小孩 舌苔 发白 怎么回事,发白 舌苔 怎么回事 小孩,怎么回事 小孩 舌苔 发白,舌苔 发白 小孩 怎么回事,122,发白 舌苔 怎么回事 小孩
123,三个月的宝宝应该注意什么？,三个月/x 宝宝/nr,三个月 宝宝,三个月 宝宝,宝宝 三个月,宝宝 三个月,123,宝宝 三个月
124,三个月的宝宝应该注意什么？,三个月/x 宝宝/nr,三个月 宝宝,三个月 宝宝,宝宝 三个月,宝宝 三个月,124,宝宝 三个月
125,宝宝不爱睡觉怎么办？,宝宝/nr 不/d 爱/v 睡觉/v,宝宝 不爱 睡觉,不爱 宝宝 睡觉,宝宝 睡觉 不爱,,125,不爱 睡觉 宝宝
126,宝宝晚上睡觉晚怎么办？,宝宝/nr 晚上/t 睡觉/v 晚/tg,宝宝 晚上 睡觉 晚,宝宝 睡觉 晚上,宝宝 睡觉 晚上,睡觉 晚上 宝宝,126,睡觉 晚上 晚 宝宝
127,宝宝吃什么钙好？,宝宝/nr 吃/v 钙/n 好/a,宝宝 吃 钙 好,宝宝,宝宝,,127,钙 吃 好 宝宝
128,宝宝60天怎么补钙？,宝宝/nr 60/m 天/q 补钙/n,宝宝 60 天 补钙,60 补钙 宝宝,宝宝 补钙 60,60 宝宝 补钙,128,天 60 补钙 宝宝
129,孕中期肚子疼。,孕中期/x 肚子疼/v,孕中期 肚子疼,孕中期 肚子疼,肚子疼 孕中期,肚子疼 孕中期,129,肚子疼 孕中期
130,孕妈肚子疼怎么办？,孕妈/x 肚子疼/v,孕妈 肚子疼,孕妈 肚子疼,肚子疼 孕妈,肚子疼 孕妈,130,肚子疼 孕妈
